id,,Unnamed: 0,id,time,egoX,egoY,heading,NPC1X,NPC1Y,NPC1Theta,throttle,brake,steering
1,0,1,1,1697440473.9427643,592516.4931640625,4134552.567108154,-2.3384946066752583,592482.6284332275,4134511.06111145,0.8085255806727787,36.41504411852223,0.0,0.5686576717594447
1,1,2,1,1697440474.1029563,592516.2800598145,4134552.346206665,-2.3380444812720302,592482.6284332275,4134511.06111145,0.8085255806727787,25.34297839715492,0.0,0.5879983694216797
1,2,3,1,1697440474.1834304,592516.1655273438,4134552.227432251,-2.337810575377998,592482.6284332275,4134511.06111145,0.8085255806727787,37.447143397535285,0.0,0.6009734129760808
1,3,4,1,1697440474.263654,592516.0483703613,4134552.105834961,-2.3375702956989084,592483.1834869385,4134511.642456055,0.8085261133049926,25.69193316593781,0.0,0.6249922060449782
1,4,5,1,1697440474.440745,592515.8592529297,4134551.9094848633,-2.33715136656342,592483.8736572266,4134512.365310669,0.8085261133049926,42.45929656424384,0.0,0.6394370651010007
1,5,6,1,1697440474.505891,592515.72265625,4134551.767578125,-2.3368361798120425,592484.5682983398,4134513.0928649902,0.8085261133049926,41.79528876310798,0.0,0.6821747362275212
1,6,7,1,1697440474.5913374,592515.5758666992,4134551.6149902334,-2.336480628850694,592485.2303466797,4134513.7862701416,0.8085261133049926,25.282092726863706,0.0,0.7256231635817122
1,7,8,1,1697440474.6625218,592515.4437866211,4134551.477554321,-2.336155644745089,592485.9048156738,4134514.4926605225,0.8085261133049926,46.58562989200545,0.0,0.7584096388659785
1,8,9,1,1697440474.8229735,592515.1057434082,4134551.125442505,-2.3352616765012986,592486.5888519287,4134515.209121704,0.8085261133049926,35.826752798547254,0.0,0.794207798157286
1,9,10,1,1697440474.9069226,592514.9337768555,4134550.94607544,-2.3347785059507533,592487.2877807617,4134515.941116333,0.8085261133049926,41.57175205304527,0.0,0.8330102186983623
1,10,11,1,1697440474.9829037,592514.7548522949,4134550.7592926025,-2.334252612183164,592487.9651489258,4134516.6505737305,0.8085261133049926,46.79831536698075,0.0,0.8694808370005962
1,11,12,1,1697440475.0671897,592514.5893554688,4134550.5863494873,-2.33374756400986,592488.6482543945,4134517.366027832,0.8085261133049926,37.82003755261885,0.0,0.9367739741575792
1,12,13,1,1697440475.224666,592514.1622924805,4134550.1392822266,-2.3323672216820928,592489.3273773193,4134518.077316284,0.8085261133049926,35.719284289536354,0.0,0.9720532715557624
1,13,14,1,1697440475.3088336,592513.9477539062,4134549.914230346,-2.3316278473616032,592489.9882507324,4134518.7694854736,0.8085261133049926,35.842647759149884,0.0,1.0555482216658765
1,14,15,1,1697440475.3836048,592513.8108215332,4134549.77041626,-2.3311397527192703,592490.6901855469,4134519.5046691895,0.8085261133049926,26.163973547473013,0.0,1.11302070783645
1,15,16,1,1697440475.5309317,592513.6720581055,4134549.624557495,-2.330623659230186,592491.4154815674,4134520.264312744,0.8085261133049926,30.58419544416629,0.0,1.1508971742126504
1,16,17,1,1697440475.5771253,592513.5321044922,4134549.477279663,-2.330089499230655,592492.1369018555,4134521.019897461,0.8085261133049926,40.45567625676192,0.0,1.1891200298362212
1,17,18,1,1697440475.7404609,592512.8687744141,4134548.777084351,-2.327439535972065,592492.854385376,4134521.7713623047,0.8085261133049926,54.82685331207426,0.0,1.2286695068392794
1,18,19,1,1697440475.822539,592512.6879882812,4134548.5856170654,-2.326671706442946,592493.586151123,4134522.5378112793,0.8085261133049926,48.67287922654192,0.0,1.3755876428902405
1,19,20,1,1697440475.822539,592512.6879882812,4134548.5856170654,-2.326671706442946,592494.2883148193,4134523.273208618,0.8085261133049926,60.08951048594956,0.0,1.5151556940171695
1,20,21,1,1697440475.9473858,592512.3707885742,4134548.2490234375,-2.325217729412209,592495.033782959,4134524.053985596,0.8085261133049926,27.074198959482125,0.0,1.5704544633835913
1,21,22,1,1697440476.1335552,592511.5906677246,4134547.4169006334,-2.3212098378341333,592495.7563476562,4134524.810760498,0.8085261133049926,17.954844242015902,0.0,1.6482815124310015
1,22,23,1,1697440476.2139945,592511.3489379883,4134547.157745361,-2.319850379713184,592496.4844360352,4134525.57333374,0.8085261133049926,15.699999999999998,0.0,1.771041603649218
1,23,24,1,1697440476.2139945,592511.3489379883,4134547.157745361,-2.319850379713184,592497.0923156738,4134526.209991455,0.8085261133049926,0.0,14.5,1.8270770549758129
1,24,25,1,1697440476.3876872,592510.759185791,4134546.5223693848,-2.3162596447413755,592497.7640991211,4134526.9135894775,0.8085261133049926,0.0,14.5,1.9185223867407888
1,25,26,1,1697440476.5059102,592510.620300293,4134546.3720550537,-2.315391300761957,592498.4573059082,4134527.639633178,0.8085261133049926,0.0,15.816088025886284,2.0251663395812542
1,26,27,1,1697440476.628554,592510.139251709,4134545.849349976,-2.3122002263929486,592499.1361999512,4134528.35067749,0.8085261133049926,0.0,23.640587764961904,2.101056991266528
1,27,28,1,1697440476.6977746,592509.8685913086,4134545.5537719727,-2.3102897178640305,592499.7898254395,4134529.035247802,0.8085261133049926,0.0,14.5,2.7263236925393217
1,28,29,1,1697440476.7736433,592509.6341247559,4134545.296768189,-2.308450926787563,592500.4770507812,4134529.7550201416,0.8085261133049926,1.5699999999999998,13.694556720104623,3.345637908049924
1,29,30,1,1697440476.8705866,592509.3354797363,4134544.968109131,-2.3055344302647747,592501.1737976074,4134530.484771729,0.8085261133049926,0.0,25.14547467599081,3.850372068928258
1,30,31,1,1697440477.0135908,592508.8145751953,4134544.389816284,-2.2990611283040323,592501.8378601074,4134531.180282593,0.8085261133049926,0.0,23.5302795089722,4.224536095819834
1,31,32,1,1697440477.1210823,592508.561340332,4134544.105865479,-2.2954479444684,592502.5317382812,4134531.90701294,0.8085261133049926,0.0,27.4121534671838,4.889773091353005
1,32,33,1,1697440477.236771,592508.3145751953,4134543.827102661,-2.291645884973142,592503.1988220215,4134532.605667114,0.8085261133049926,0.0,30.80164573213512,4.979317902482638
1,33,34,1,1697440477.3333678,592507.8455810547,4134543.290939331,-2.2833994518065115,592503.7327270508,4134533.1648864746,0.8085261133049926,0.0,34.20530311613022,6.140956145318263
1,34,35,1,1697440477.4218786,592507.6257019043,4134543.036300659,-2.2787159026528627,592504.2753295898,4134533.733200073,0.8085261133049926,0.0,38.834913456904765,7.399283095712616
1,35,36,1,1697440477.510703,592507.4685668945,4134542.8527526855,-2.2747344693877105,592504.8402404785,4134534.32484436,0.8085261133049926,0.0,40.90545563167448,8.30450320985596
1,36,37,1,1697440477.6247644,592507.3432312012,4134542.705230713,-2.271242485765292,592505.3647155762,4134534.874145508,0.8085261133049926,0.0,44.69439805557601,8.879838375669696
1,37,38,1,1697440477.6247644,592507.3432312012,4134542.705230713,-2.271242485765292,592505.9260864258,4134535.462097168,0.8085261133049926,0.0,43.17800884851573,9.091395331836182
1,38,39,1,1697440477.8156686,592506.818572998,4134542.074295044,-2.2546211403982905,592506.4862670898,4134536.048828125,0.8085261133049926,0.0,42.20302151766598,10.121227555776654
1,39,40,1,1697440477.8156686,592506.818572998,4134542.074295044,-2.2546211403982905,592507.0532531738,4134536.642654419,0.8085261133049926,0.0,42.49169661317329,10.931638952203013
1,40,41,1,1697440477.8156686,592506.818572998,4134542.074295044,-2.2546211403982905,592507.6009216309,4134537.2162628174,0.8085261133049926,0.0,47.94956044787698,9.029493708127722
1,41,42,1,1697440478.0968611,592506.5380554199,4134541.726715088,-2.2438573174880263,592508.1670227051,4134537.809173584,0.8085261133049926,0.0,49.177134782193335,8.435208732338705
